Zona,Movimento 5 Stelle,Il Popolo della Famiglia,Per una Sinistra Rivoluzionaria,Partito Comunista,Civica Popolare,Partito Democratico,Italia Europa Insieme,Piu Europa,Unione di Centro,Forza Italia,Lega Nord,Fratelli d Italia,Italia agli Italiani,Partito Repubblicano Italiano - Alleanza Liberalpopolare - Autonomie,Potere al Popolo,Liberi e Uguali,CasaPound,Totale Voti Validi
10,39,0,0,1,1,82,7,23,0,52,54,17,1,0,2,29,2,310
10,63,1,1,2,6,105,4,42,4,65,63,22,0,0,10,33,7,428
10,63,7,1,3,3,101,5,41,0,80,58,25,0,1,16,29,3,436
10,80,4,0,2,3,123,9,52,12,79,49,20,0,0,19,32,5,489
10,53,4,0,1,3,65,11,31,4,70,61,27,1,3,25,28,6,393
10,60,1,2,2,4,112,9,45,6,60,53,25,1,0,18,52,1,451
10,88,2,1,2,0,163,8,51,4,46,56,23,1,0,29,41,1,516
10,84,1,1,0,3,101,5,37,2,34,45,12,1,0,7,43,4,380
10,72,1,2,2,3,95,6,30,0,56,58,23,4,0,25,36,5,418
10,54,1,2,2,1,102,5,58,1,51,55,12,2,2,34,48,4,434
10,45,2,1,1,4,91,6,36,1,44,47,15,0,1,15,38,2,349
10,82,4,4,1,0,91,6,35,0,23,22,13,2,1,31,63,1,379
10,36,1,0,4,1,68,5,20,1,24,21,10,0,1,20,25,1,238
10,80,1,5,6,0,109,11,42,2,41,31,12,1,2,38,44,0,425
10,79,5,1,3,3,137,8,34,1,64,58,20,0,3,23,39,3,481
10,97,0,2,3,2,106,9,36,0,43,46,22,0,2,24,37,3,432
11,94,4,0,0,7,131,5,42,4,91,61,40,2,1,16,55,6,559
11,71,3,1,1,1,123,9,47,6,57,39,21,0,3,17,43,2,444
11,83,2,0,3,1,139,7,49,6,55,73,28,3,1,22,40,3,515
11,72,0,0,3,3,111,8,37,2,71,63,28,2,1,7,37,6,451
11,85,2,2,0,5,142,7,57,1,75,76,27,1,1,17,36,4,538
11,73,0,0,2,8,101,5,29,1,108,67,31,3,1,7,30,4,470
11,65,2,0,1,1,141,13,47,5,83,75,25,1,3,10,28,7,507
11,51,1,0,0,0,126,2,38,0,55,85,35,2,1,6,24,1,427
11,102,3,0,3,4,129,13,60,1,56,52,25,0,0,20,48,1,517
11,81,5,2,2,2,83,4,44,2,41,47,9,1,0,24,47,6,400
11,85,2,2,1,2,105,10,43,0,61,55,24,2,0,25,50,7,474
11,96,1,1,2,9,119,13,38,5,43,58,22,0,1,13,45,0,466
11,79,1,0,4,5,111,4,39,3,67,64,34,5,0,5,39,3,463
11,67,2,1,4,7,100,5,27,2,67,71,17,0,1,16,35,2,424
11,74,1,0,0,0,106,7,32,3,57,50,19,0,3,24,45,3,424
11,87,0,0,2,3,107,11,37,3,40,47,17,0,1,13,34,2,404
11,121,1,2,4,7,124,6,27,5,45,52,15,2,0,20,32,3,466
11,83,2,0,2,0,98,3,26,3,36,57,18,0,1,15,34,4,382
8,47,2,0,0,1,87,6,36,6,54,37,30,0,1,4,20,0,331
8,58,0,2,1,5,89,9,54,4,54,45,15,1,0,24,57,2,420
8,52,2,0,1,1,103,5,43,5,70,54,14,1,3,16,34,1,405
8,59,0,0,0,3,108,7,40,0,65,68,17,1,0,10,54,0,432
8,73,1,4,1,1,76,9,41,6,36,37,9,1,1,24,50,1,371
8,66,5,0,3,2,88,13,47,2,32,42,16,2,1,16,32,2,369
8,85,0,1,1,1,107,7,32,1,47,66,14,3,0,17,31,2,415
8,59,3,2,1,1,97,13,56,3,35,51,11,0,1,31,47,3,414
8,81,0,0,3,2,119,8,43,0,22,42,16,2,1,27,70,1,437
8,63,0,2,2,3,98,7,63,0,50,36,17,1,3,28,38,4,415
8,56,2,2,2,2,63,11,37,3,29,30,5,0,1,13,29,3,288
8,61,1,2,0,2,137,12,55,0,35,36,19,1,4,33,52,4,454
8,61,0,3,2,6,85,3,28,2,49,44,20,0,0,17,45,2,367
8,90,2,2,2,3,83,6,47,1,41,41,15,1,0,14,39,3,390
8,63,2,1,4,5,127,0,28,0,50,65,27,1,0,3,41,2,419
8,111,4,1,1,7,131,3,45,1,79,53,29,3,2,16,47,4,537
8,79,1,0,0,4,89,8,29,1,38,47,14,1,0,17,44,0,372
8,69,0,0,2,7,124,3,37,5,62,48,16,1,2,15,47,1,439
18,85,4,1,5,12,148,4,40,2,39,57,18,0,1,22,60,2,500
18,72,3,0,3,5,120,4,27,4,54,48,21,2,0,7,45,0,415
18,72,0,0,1,8,158,16,40,3,65,59,25,0,1,21,44,6,519
18,86,0,3,2,11,131,4,35,1,41,50,12,1,0,9,39,2,427
18,96,4,2,3,9,153,13,38,4,29,38,13,3,1,10,49,2,467
18,98,2,1,7,4,122,8,34,3,37,49,18,1,1,42,42,2,471
18,132,1,4,6,1,134,3,14,1,27,51,7,1,0,12,29,3,426
18,97,1,4,3,4,130,9,52,1,37,52,20,1,1,39,69,2,522
18,81,3,3,3,7,5,138,35,4,64,32,10,2,0,17,42,2,448
18,104,2,1,2,5,135,8,11,1,32,76,9,1,0,15,33,2,437
18,108,0,0,2,3,140,13,28,2,40,41,16,1,0,21,40,5,460
18,97,2,1,5,3,134,5,53,0,39,73,22,0,1,16,46,1,498
18,70,5,2,0,4,142,10,42,0,79,54,25,0,0,20,43,6,502
18,130,0,0,3,3,138,1,37,1,56,65,14,2,1,13,30,1,495
18,94,0,2,4,2,136,9,33,1,30,41,17,1,1,13,42,1,427
18,109,4,0,2,5,167,8,39,3,50,68,27,1,3,3,22,3,514
18,46,0,1,1,4,63,2,26,0,16,58,13,1,0,12,14,0,257
18,108,2,2,1,4,146,6,43,9,32,69,26,1,0,12,33,0,494
18,91,0,0,1,6,114,5,42,3,49,50,9,1,1,11,41,5,429
18,121,7,0,5,6,130,8,23,7,52,56,20,4,1,10,32,1,483
18,84,0,1,2,4,142,9,21,4,51,57,14,2,1,11,32,5,440
18,97,4,1,0,7,170,10,33,10,48,84,21,2,1,7,39,1,535
18,135,0,2,1,1,115,7,24,3,25,39,10,0,2,18,26,6,414
18,125,3,1,6,2,84,6,29,4,24,58,11,2,0,18,51,2,426
18,85,1,0,0,3,144,9,29,0,46,59,6,2,1,12,37,2,436
18,152,6,2,10,10,176,4,26,7,55,75,10,2,0,11,47,3,596
18,119,1,0,5,0,125,9,24,3,34,56,14,1,1,11,26,4,433
18,123,2,3,4,4,146,6,27,1,57,82,7,1,1,16,38,3,521
18,147,4,2,2,3,120,7,25,7,29,68,15,3,0,15,39,1,487
18,138,5,1,1,5,177,7,25,2,49,97,19,2,2,6,37,0,573
18,151,1,2,6,6,168,10,40,6,54,116,30,3,3,17,51,2,666
18,151,6,2,1,2,180,11,33,10,36,104,31,1,3,6,43,1,621
18,138,4,4,5,4,137,6,18,3,52,66,13,1,0,8,36,1,496
18,104,1,1,3,2,144,4,9,1,47,86,13,2,0,7,33,1,458
18,128,4,0,1,14,161,6,11,4,53,81,12,3,0,1,22,2,503
18,140,2,0,4,1,122,4,16,2,45,82,18,2,1,7,23,5,474
7,43,4,1,1,2,93,4,36,4,88,82,27,1,2,3,14,4,409
7,33,5,1,3,5,106,10,43,13,93,51,24,2,0,8,27,2,426
7,64,1,0,0,4,105,7,48,3,37,48,22,1,2,8,37,6,393
7,53,1,1,3,0,66,2,41,1,54,43,12,1,3,14,36,2,333
7,50,4,0,0,4,79,9,30,3,87,58,18,3,0,3,21,14,383
7,64,0,0,0,6,109,9,49,4,76,60,14,0,1,14,18,5,429
7,62,5,0,2,4,116,8,49,3,101,38,23,0,2,13,27,4,457
7,50,2,2,1,4,127,11,46,6,76,59,26,0,0,9,35,1,455
7,60,3,0,1,2,95,10,50,1,65,63,22,0,1,20,34,3,430
7,65,3,0,3,3,117,12,67,4,47,55,18,3,0,16,27,4,444
7,53,0,1,5,2,81,14,50,3,49,33,23,0,0,22,46,3,385
7,64,3,1,0,0,95,9,41,4,39,39,13,0,1,21,55,0,385
7,60,2,0,1,1,94,8,55,1,40,52,20,1,0,10,39,2,386
7,65,1,1,2,1,104,9,62,3,67,72,19,0,1,13,25,3,448
7,50,1,0,0,7,104,9,45,7,80,72,22,1,1,6,21,4,430
7,59,2,1,1,3,118,2,51,0,68,51,24,2,0,19,34,1,436
7,54,1,0,1,8,131,18,77,1,77,58,22,2,2,4,38,6,500
13,66,4,1,0,5,144,5,66,2,90,81,39,1,0,15,33,4,556
13,43,8,0,1,6,117,7,51,1,67,73,19,1,1,1,23,1,420
13,63,1,1,1,7,147,8,53,2,91,67,32,1,1,8,35,1,519
13,55,2,2,1,2,147,11,42,3,87,87,28,0,2,9,39,2,519
13,69,0,0,1,8,149,13,46,9,97,91,34,3,1,6,19,2,548
13,80,0,1,3,2,110,18,32,7,54,62,24,3,0,10,37,3,446
13,58,6,2,3,5,137,5,45,3,65,56,18,0,1,14,32,3,453
13,65,6,1,1,9,144,6,57,0,62,65,20,2,1,12,37,1,489
13,50,8,0,1,5,121,7,68,2,65,56,21,1,0,13,34,0,452
13,66,1,0,1,10,122,19,42,5,76,68,33,1,0,5,23,3,475
13,63,5,0,1,8,164,12,52,4,58,63,20,2,4,9,36,3,504
13,66,3,0,0,7,154,8,38,5,94,66,26,0,0,8,36,0,511
13,72,6,1,0,12,127,8,38,6,52,65,29,2,4,7,48,3,480
13,65,7,2,1,5,134,14,48,3,65,57,32,2,1,7,25,7,475
13,81,0,2,8,4,114,9,40,2,41,60,9,0,0,11,34,2,417
13,71,0,1,4,2,136,10,25,2,43,46,12,1,0,11,39,3,406
13,84,1,1,0,3,148,8,33,1,52,72,18,1,0,11,50,1,484
13,67,1,1,0,2,127,12,47,3,80,80,33,2,1,7,33,6,502
13,72,3,1,4,5,175,4,54,3,53,66,18,1,1,11,43,8,522
13,79,4,0,5,6,131,14,36,2,35,87,26,0,2,8,38,6,479
13,93,1,1,0,3,139,4,45,6,52,59,13,4,0,7,40,1,468
13,63,0,1,1,4,134,1,29,2,59,51,20,0,2,10,35,4,416
13,105,1,1,3,5,103,13,31,3,35,50,19,2,0,8,43,4,426
13,83,3,0,1,1,146,8,41,1,43,71,19,3,0,13,39,3,475
13,138,3,0,5,3,100,8,34,1,24,46,12,1,2,14,31,0,422
13,104,2,1,1,3,117,4,17,4,57,74,20,1,0,13,31,0,449
13,88,2,2,5,2,120,11,28,1,42,75,19,3,0,9,38,2,447
13,95,3,1,2,4,87,1,15,5,31,47,14,2,1,6,39,1,354
13,86,3,1,0,6,133,7,27,1,65,60,25,3,0,6,38,2,463
13,111,1,1,2,0,139,3,29,0,36,67,18,1,0,5,28,0,441
13,81,3,0,4,2,134,7,33,3,28,40,10,0,0,16,47,3,411
13,98,1,0,2,1,111,6,36,1,21,54,20,3,0,11,31,1,397
13,111,0,2,1,1,135,6,29,2,42,65,18,0,2,8,31,4,457
13,113,1,0,3,3,119,11,19,2,48,75,21,2,2,8,37,5,469
4,68,2,0,1,5,114,12,38,3,79,69,31,0,3,8,23,0,456
4,64,0,1,0,2,109,12,47,3,102,80,31,2,0,10,25,4,492
4,46,4,0,0,11,126,13,59,9,114,71,33,0,5,11,23,4,529
7,65,6,0,0,9,133,8,53,1,73,69,28,1,0,15,29,1,491
4,42,5,0,0,9,138,13,53,11,115,83,40,1,0,9,15,2,536
4,53,1,1,2,9,132,9,39,7,124,83,27,0,1,5,30,5,528
4,70,1,0,0,6,128,14,58,5,75,84,32,3,5,9,45,0,535
4,65,2,0,2,6,110,3,47,0,86,61,29,0,3,6,22,3,445
4,69,5,0,1,3,129,4,50,7,63,70,31,2,0,14,31,2,481
2,95,3,0,3,1,101,5,16,1,25,37,12,0,0,13,36,1,349
2,73,0,0,1,1,91,2,17,0,29,57,6,0,0,18,34,4,333
2,103,2,0,0,7,124,10,34,0,54,72,12,1,0,23,38,3,483
2,99,2,1,2,5,124,4,31,3,36,61,26,3,2,34,36,3,472
2,149,2,2,2,0,135,10,24,2,43,86,13,0,2,24,56,2,552
2,104,1,1,0,3,85,4,13,1,55,67,10,3,0,12,25,1,385
2,68,0,0,5,2,87,8,17,0,36,50,8,0,0,13,27,1,322
2,59,1,0,0,0,98,3,20,2,31,75,13,2,1,18,32,3,358
2,115,1,1,3,5,147,11,30,1,29,59,17,1,0,27,41,4,492
2,113,0,0,0,4,121,5,23,2,52,62,14,1,0,21,45,4,467
2,158,3,5,5,1,154,6,26,1,32,74,12,5,1,11,34,1,529
2,104,5,0,1,1,98,5,26,1,37,71,14,4,1,23,51,1,443
2,84,0,2,1,4,104,6,41,2,45,68,12,2,0,23,48,6,448
2,128,5,1,2,1,134,5,31,2,31,65,11,1,1,32,47,4,501
2,126,2,1,4,3,152,7,33,2,33,58,8,2,0,24,55,3,513
2,95,1,0,4,0,150,6,28,4,47,58,15,0,0,17,24,2,451
2,101,4,1,4,1,124,7,28,1,24,64,14,2,0,19,49,1,444
2,102,8,2,4,3,109,13,36,0,53,80,24,1,0,24,54,1,514
2,132,0,0,2,4,117,9,30,2,24,35,8,0,2,25,47,1,438
2,115,4,2,4,0,125,0,13,1,13,38,12,1,1,19,29,3,380
2,105,1,2,1,3,102,3,23,0,27,60,6,2,0,22,36,3,396
2,96,3,4,3,0,93,6,25,0,42,54,10,0,0,27,31,2,396
2,102,4,1,2,0,106,4,15,1,40,42,7,2,0,16,35,5,382
2,100,2,0,6,4,128,4,19,4,21,55,11,3,1,11,43,2,414
2,95,0,4,4,1,124,5,20,2,33,51,16,1,1,19,52,1,429
2,147,0,1,2,1,115,5,30,2,33,72,14,1,0,15,39,3,480
2,137,0,1,6,0,104,3,17,0,20,65,14,0,2,21,37,2,429
2,88,4,1,3,2,135,1,22,1,22,56,7,2,0,17,39,1,401
2,106,1,1,6,4,127,3,17,0,31,68,5,0,0,16,36,1,422
2,124,2,2,4,3,139,7,31,1,31,53,8,0,0,15,53,4,477
2,95,0,0,5,4,141,6,32,1,40,76,15,1,2,8,41,0,467
2,116,1,0,5,4,99,3,12,1,26,59,15,1,1,12,29,6,390
2,132,0,1,7,3,125,4,25,0,18,44,5,1,0,11,35,2,413
2,120,2,1,8,1,134,2,20,2,29,64,12,1,1,11,35,0,443
2,102,4,2,1,1,128,1,11,3,27,83,14,1,0,12,38,3,431
2,115,1,0,2,2,112,2,15,0,27,38,11,1,0,11,13,2,352
5,158,4,7,3,5,211,9,33,3,34,86,18,3,0,12,70,4,660
5,145,2,4,5,6,199,6,24,8,37,54,7,1,1,12,46,1,558
5,165,4,3,7,3,172,4,19,9,36,71,15,3,0,4,41,4,560
5,178,1,0,4,3,192,2,24,2,34,89,18,3,1,14,37,1,603
5,114,2,0,4,4,141,4,21,0,31,69,14,1,0,6,44,3,458
5,158,4,4,5,1,179,6,24,5,35,108,14,2,1,25,47,1,619
5,160,0,0,4,2,133,10,13,4,28,52,22,3,0,9,34,1,475
5,118,2,0,1,4,141,8,11,0,44,61,22,3,0,8,51,1,475
5,125,1,0,3,2,126,4,18,0,69,81,7,3,0,7,31,2,479
5,142,2,2,5,0,129,6,16,1,29,63,7,1,0,7,25,1,436
5,116,0,0,2,2,209,4,18,2,18,50,10,3,1,5,48,1,489
5,125,0,2,8,3,166,2,17,0,37,57,22,2,0,4,51,2,498
5,119,0,0,7,1,191,5,15,0,23,59,8,0,0,5,35,1,469
5,101,1,1,4,5,198,1,13,2,37,44,8,2,0,10,44,3,474
5,105,5,1,3,1,107,2,17,4,40,59,16,2,0,4,44,1,411
5,98,2,0,7,6,183,5,19,0,27,45,8,0,2,13,45,2,462
5,103,5,1,6,1,135,8,13,0,22,57,9,2,0,2,19,3,386
5,88,0,0,5,3,211,5,24,4,34,71,13,4,0,4,38,0,504
5,104,1,1,4,3,217,12,16,1,40,58,16,0,0,5,32,3,513
15,101,0,1,2,2,101,6,22,8,34,48,7,2,0,22,18,2,376
15,113,4,2,8,3,119,5,31,2,46,60,12,5,0,16,37,2,465
15,96,3,1,4,0,95,4,15,1,41,55,7,2,1,8,26,2,361
15,88,1,2,4,2,143,2,26,1,24,49,12,2,0,5,34,0,395
15,108,1,1,9,10,126,4,28,2,19,57,9,4,0,16,32,3,429
15,80,12,2,2,11,163,7,19,3,38,77,7,1,1,9,47,2,481
15,121,6,2,5,4,137,9,16,1,34,53,5,4,1,17,36,0,451
15,152,5,0,4,5,140,2,17,3,50,40,29,3,0,22,45,8,525
15,105,1,1,1,2,125,8,16,0,39,59,15,3,0,11,44,1,431
15,97,2,0,5,2,96,5,22,0,14,60,6,1,0,14,42,3,369
15,74,2,1,1,0,97,3,21,2,23,54,8,2,1,8,35,2,334
15,99,3,3,5,1,103,7,7,1,29,65,12,1,3,11,28,4,382
15,111,5,2,3,4,119,1,16,1,31,37,6,2,0,20,32,0,390
15,116,1,0,4,2,122,2,17,0,38,58,11,1,1,17,41,2,433
15,119,5,1,11,4,120,5,21,2,36,58,16,1,0,9,39,2,449
15,150,4,1,7,2,172,0,39,2,58,96,29,2,1,10,42,2,617
15,90,2,2,4,1,137,3,24,2,32,70,10,2,0,7,49,0,435
15,130,0,1,5,2,141,2,29,2,26,69,15,1,2,12,40,3,480
15,95,2,2,4,2,82,1,13,0,30,44,6,1,0,12,33,1,328
15,100,2,2,5,5,122,5,19,2,17,55,4,1,0,18,48,3,408
15,132,3,3,3,1,166,8,17,1,28,45,14,0,0,13,40,2,476
15,116,0,0,6,1,128,5,23,0,36,63,12,1,0,17,40,4,452
15,95,4,1,5,3,155,0,17,4,24,56,11,2,0,18,45,5,445
15,120,7,0,3,11,155,6,16,1,45,72,11,0,0,7,33,1,488
15,82,3,1,1,3,149,10,10,2,41,54,21,1,0,11,32,3,424
15,91,2,0,3,3,106,6,13,1,30,63,8,1,0,5,27,0,359
15,119,0,0,1,5,142,2,21,1,40,74,13,1,3,9,49,3,483
15,95,1,2,4,0,104,4,13,2,32,47,10,4,0,8,12,2,340
15,89,2,1,4,1,103,2,5,1,32,65,8,2,1,6,16,2,340
15,103,0,1,5,0,80,0,9,4,28,62,4,4,1,1,19,1,322
15,95,3,0,2,3,194,2,13,1,28,48,10,2,1,1,47,2,452
15,121,0,0,3,1,136,2,10,0,21,59,7,1,1,12,39,3,416
15,86,1,1,6,1,91,0,6,4,38,69,9,1,0,1,19,1,334
15,101,0,0,4,0,147,0,2,0,34,49,7,0,2,9,21,4,380
15,147,3,3,6,0,148,5,6,0,22,51,10,0,1,5,32,0,439
15,136,0,1,4,5,136,3,39,2,64,117,20,1,1,7,31,1,568
12,67,3,0,3,6,170,7,20,1,47,66,15,1,0,4,31,1,442
12,166,3,2,6,2,179,12,31,1,41,67,16,0,1,7,45,2,581
12,88,4,0,0,12,206,9,34,5,39,52,11,2,1,9,66,1,539
12,78,2,1,2,6,227,10,20,3,43,73,22,0,2,7,26,2,524
12,83,0,2,6,9,171,12,40,2,41,64,13,0,3,10,38,2,496
12,93,0,0,3,4,102,8,30,8,65,80,20,1,1,8,45,4,472
12,103,1,0,2,6,107,5,30,0,38,58,25,2,1,11,37,2,428
12,161,6,2,5,4,135,6,18,0,40,84,18,0,1,12,37,2,531
12,125,3,2,6,7,107,2,25,1,52,67,17,1,0,17,34,1,467
12,113,2,0,3,6,102,3,20,2,25,65,19,2,0,8,30,3,403
12,121,2,1,5,3,147,5,14,2,36,65,11,0,0,15,34,0,461
12,93,5,3,3,5,125,7,18,0,36,59,22,2,0,16,30,1,425
12,107,1,2,3,2,172,5,17,4,30,60,15,0,1,2,44,3,468
12,103,4,1,6,8,114,4,19,2,36,50,7,1,2,6,25,1,389
12,90,4,2,2,0,99,3,6,3,34,74,10,1,1,4,12,2,347
12,118,2,0,9,3,138,1,11,1,30,64,25,2,0,8,30,7,449
12,105,2,1,1,0,127,3,22,2,29,43,8,2,0,7,37,1,390
12,110,1,0,2,8,252,7,31,4,44,65,15,1,0,15,61,2,618
12,78,1,1,1,1,176,8,22,5,39,50,17,0,1,5,36,1,442
12,120,6,0,3,1,160,3,19,2,39,63,19,1,1,11,43,2,493
12,87,2,0,2,3,180,17,21,2,34,45,27,0,2,8,30,3,463
12,104,0,1,2,3,137,7,19,2,33,49,12,4,1,19,31,2,426
12,80,2,0,4,5,141,5,17,0,40,68,17,2,1,5,40,1,428
12,124,2,2,3,1,135,3,22,6,32,48,19,1,1,6,37,1,443
12,106,2,4,3,7,153,4,21,0,45,49,15,0,0,11,34,1,455
12,86,3,1,5,1,123,4,25,1,38,47,13,2,0,7,31,1,388
12,117,1,1,7,1,118,2,15,0,34,67,9,2,1,6,34,0,415
12,77,2,0,2,5,186,7,19,4,47,71,26,0,2,9,45,1,503
12,117,0,1,6,2,156,5,24,2,35,58,8,1,0,11,37,2,465
12,102,5,1,3,5,155,9,22,1,38,74,11,1,1,8,37,0,473
12,113,4,2,2,2,129,1,17,3,26,59,14,2,1,6,31,0,412
12,100,1,1,4,5,141,5,20,2,34,76,26,2,0,7,39,2,465
12,86,3,2,3,1,180,3,17,1,34,61,13,0,2,8,42,2,458
12,147,1,2,3,3,125,5,16,0,27,62,12,5,3,12,29,2,454
12,151,1,1,5,4,170,7,17,2,44,59,14,4,0,6,36,4,525
12,109,1,2,6,2,150,4,12,0,28,60,5,1,0,7,41,3,431
12,124,2,1,5,3,122,3,13,0,32,62,10,3,0,9,33,1,423
12,117,1,1,1,12,177,8,27,0,50,73,18,1,0,8,36,1,531
12,104,6,0,5,4,134,4,25,0,56,72,18,5,1,6,31,2,473
12,97,2,0,3,3,175,4,9,1,26,57,14,1,2,6,37,4,441
12,106,3,0,2,1,175,6,24,0,29,34,12,1,0,7,62,0,462
12,111,2,1,4,3,143,9,28,2,55,54,15,3,1,4,27,1,463
12,140,4,0,6,4,219,10,20,0,37,61,18,0,2,5,59,3,588
12,96,3,0,2,4,171,6,33,3,49,56,18,0,0,7,40,1,489
12,40,2,2,4,2,75,4,7,0,39,18,9,3,2,3,6,0,216
16,100,2,2,2,7,150,10,57,6,59,81,27,3,2,3,31,0,542
16,145,3,1,8,4,126,5,17,1,41,51,20,3,2,11,28,1,467
16,126,0,1,3,6,121,6,35,0,42,56,20,1,1,10,31,2,461
16,121,1,0,1,8,158,6,32,4,56,92,17,3,1,9,34,2,545
16,91,3,0,2,5,140,14,29,2,59,49,14,2,1,6,39,3,459
16,99,6,0,2,4,167,7,24,1,57,72,33,1,1,9,42,1,526
16,119,5,2,4,5,152,10,24,2,51,58,16,0,1,7,57,2,515
16,100,1,1,1,2,101,7,33,0,38,66,17,0,1,9,36,3,416
16,116,3,1,4,7,142,10,32,1,29,73,16,3,3,6,35,3,484
16,129,2,0,2,5,141,6,24,0,34,72,13,0,0,7,32,4,471
16,74,4,0,1,13,138,8,42,5,55,63,21,0,1,10,34,1,470
16,104,5,0,0,8,121,10,39,3,60,79,28,4,0,6,31,4,502
16,99,2,0,2,1,141,3,16,1,30,52,7,2,0,2,39,2,399
16,106,0,1,4,4,183,3,26,1,36,66,18,2,0,11,46,0,507
16,138,3,0,5,1,70,2,10,0,29,42,2,2,1,13,27,1,346
16,92,1,1,7,0,104,2,13,0,38,61,10,1,0,5,16,5,356
16,101,2,1,3,1,164,4,19,4,50,85,9,2,0,15,50,2,512
16,81,1,2,0,10,132,4,26,1,37,56,13,1,0,10,44,3,421
16,97,3,0,0,1,210,6,25,0,34,74,13,0,1,11,43,0,518
16,81,4,0,5,5,115,8,36,4,55,71,30,0,0,4,28,7,453
16,58,2,2,2,3,123,8,35,4,86,79,33,0,0,7,24,4,470
16,76,3,1,1,5,112,9,36,2,69,89,25,3,1,11,31,6,480
16,133,4,1,3,1,87,5,14,1,36,76,13,0,0,4,19,6,403
16,110,3,0,3,5,133,1,29,2,47,47,17,0,0,8,38,6,449
16,103,2,1,2,3,163,5,34,4,41,71,20,1,1,10,31,3,495
18,158,2,2,6,1,120,4,13,0,22,53,13,2,0,8,30,1,435
12,12,0,0,1,2,18,0,4,0,6,9,3,0,0,0,4,2,61
18,19,0,0,2,1,47,1,1,2,21,19,7,2,0,3,14,1,140
18,33,0,1,3,2,43,4,4,0,8,13,4,1,0,0,7,2,125
18,17,0,0,0,1,43,2,3,1,12,12,1,1,0,2,3,0,98
2,8,1,0,2,1,27,1,1,1,3,7,0,0,0,0,1,0,53
4,15,0,1,1,0,21,2,2,0,3,5,1,0,0,2,4,0,57
